sample_id,akkermansia,alistipes,bacteroides,bifidobacterium,faecalibacterium,lactobacillus,prevotella,roseburia
10317.000028111,11695.0,145.0,46618.0,215.0,9263.0,9.0,128.0,424.0
10317.000028536,4869.0,4.0,82672.0,1409.0,7398.0,12.0,200.0,1067.0
10317.000032680,127.0,49.0,63455.0,42.0,12122.0,118.0,176.0,516.0
10317.000028162,4.0,0.0,103.0,8.0,9.0,302.0,136.0,6.0
10317.000023494,5848.0,316.0,132617.0,1229.0,27834.0,37.0,397.0,9917.0
10317.000026537,13.0,0.0,16183.0,38.0,6085.0,80.0,71.0,1953.0
10317.000049807,0.0,0.0,5.0,6.0,6.0,4.0,86.0,1.0
10317.000007569,1.0,0.0,5.0,6.0,4.0,13.0,89.0,0.0
10317.000063422,0.0,0.0,15.0,31.0,44.0,959.0,314.0,5.0
10317.000068854,0.0,0.0,2.0,1.0,1.0,41.0,105.0,1.0
10317.000069094,6.0,0.0,42.0,1.0,13.0,266.0,44.0,1.0
10317.000068998,0.0,0.0,11.0,37.0,0.0,96.0,463.0,1.0
10317.000069082,0.0,0.0,1.0,4.0,5.0,299.0,73.0,0.0
10317.000063507,3.0,0.0,113.0,0.0,5.0,131.0,61.0,0.0
10317.000003320,1.0,0.0,80.0,59.0,65.0,229.0,28.0,0.0
10317.000066855,0.0,0.0,24.0,4.0,1.0,41.0,207.0,0.0
10317.000066867,0.0,0.0,11.0,6.0,3.0,44.0,120.0,6.0
10317.000069075,0.0,0.0,4.0,1.0,2.0,251.0,97.0,0.0
10317.000063262,0.0,0.0,1.0,0.0,10.0,16.0,766.0,0.0
10317.000063464,0.0,0.0,16.0,0.0,1.0,20.0,32.0,0.0
10317.000003350,138.0,3.0,1657.0,1.0,3404.0,4.0,1776.0,172.0
10317.000067654,7.0,0.0,2633.0,46.0,1106.0,1.0,5382.0,128.0
10317.000072168,1.0,1.0,563.0,1.0,2276.0,7.0,8434.0,56.0
10317.000007120,66.0,0.0,685.0,60.0,885.0,1186.0,2713.0,47.0
10317.000015217,0.0,0.0,15.0,2.0,5.0,25.0,124.0,0.0
10317.000015163,1.0,0.0,33.0,3.0,5.0,11.0,494.0,1.0
10317.000027250,0.0,0.0,18.0,0.0,21.0,1.0,356.0,0.0
10317.000063231,0.0,0.0,12.0,11.0,2.0,27.0,45.0,0.0
10317.000042793,0.0,0.0,29.0,11.0,3.0,34.0,40.0,2.0
10317.000005290,0.0,0.0,38.0,3.0,8.0,553.0,157.0,3.0
10317.000007123,0.0,0.0,10.0,23.0,9.0,239.0,326.0,5.0
10317.000006972,9.0,0.0,17.0,1.0,1.0,133.0,58.0,0.0
10317.000015507,0.0,0.0,53.0,25.0,52.0,78.0,743.0,2.0
10317.000063272,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0
10317.000063291,0.0,0.0,56.0,111.0,286.0,285.0,1478.0,13.0
10317.000063308,0.0,0.0,6.0,6.0,12.0,57.0,42.0,7.0
10317.000023913,0.0,0.0,3.0,0.0,11.0,1.0,10.0,0.0
10317.000063380,0.0,0.0,3.0,17.0,20.0,107.0,76.0,1.0
10317.000010326,0.0,0.0,192.0,0.0,131.0,319.0,166.0,3.0
10317.000063267,0.0,0.0,12.0,14.0,44.0,86.0,1050.0,10.0
10317.000069101,0.0,0.0,1.0,0.0,0.0,1.0,22.0,0.0
10317.000015116,72.0,1.0,1078.0,31.0,610.0,513.0,276.0,5.0
10317.000049241,10.0,0.0,81.0,0.0,49.0,10.0,165.0,4.0
10317.000062192,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
10317.000062197,0.0,0.0,3.0,0.0,0.0,38.0,18.0,0.0
10317.000063303,0.0,0.0,4.0,2.0,1.0,159.0,185.0,1.0
10317.000066836,0.0,0.0,4.0,0.0,29.0,167.0,418.0,2.0
10317.000063176,2.0,0.0,23.0,4.0,4.0,30.0,502.0,1.0
10317.000063500,3.0,0.0,95.0,1.0,2.0,72.0,220.0,4.0
10317.000068943,19.0,0.0,36.0,1.0,13.0,58.0,50.0,3.0
10317.000068950,13.0,0.0,26.0,16.0,4.0,106.0,69.0,3.0
10317.000069063,8.0,0.0,36.0,1.0,11.0,28.0,30.0,0.0
10317.000069022,14.0,1.0,44.0,10.0,9.0,492.0,125.0,3.0
10317.000063344,0.0,0.0,3.0,7.0,3.0,20.0,42.0,2.0
10317.000068830,0.0,0.0,3.0,5.0,3.0,156.0,60.0,1.0
10317.000069046,0.0,0.0,4.0,63.0,1.0,11.0,20.0,0.0
10317.000068919,22.0,0.0,36.0,0.0,12.0,99.0,356.0,6.0
10317.000015221,2.0,1.0,810.0,3.0,78.0,317.0,809.0,25.0
10317.000068993,0.0,0.0,1.0,1.0,0.0,0.0,31.0,0.0
10317.000069111,3.0,0.0,1.0,1.0,0.0,31.0,32.0,0.0
10317.000069118,0.0,0.0,3.0,6.0,3.0,101.0,28.0,3.0
10317.000069113,0.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0
10317.000014458,0.0,0.0,26389.0,32.0,5449.0,1.0,15.0,1655.0
10317.000001986,0.0,0.0,7.0,3.0,2.0,258.0,37.0,0.0
10317.000038318,1.0,2.0,29.0,10.0,54.0,2.0,26.0,4.0
10317.000002722,0.0,0.0,32.0,0.0,5.0,0.0,44.0,2.0
10317.000009073,0.0,0.0,15.0,1.0,0.0,0.0,16.0,1.0
10317.000015211,0.0,0.0,36.0,3.0,2.0,32.0,149.0,0.0
10317.000037600,0.0,0.0,1.0,0.0,0.0,8829.0,391.0,0.0
10317.000041369,0.0,0.0,7.0,0.0,2.0,14.0,15.0,1.0
10317.000001422,2367.0,0.0,9471.0,12.0,45.0,12.0,2.0,1.0
10317.000003651,1.0,0.0,36.0,4.0,18.0,3.0,60.0,5.0
10317.000003610,28.0,2.0,1187.0,5.0,2112.0,4.0,3.0,214.0
10317.000004238,4.0,0.0,22.0,5.0,2.0,12.0,58.0,3.0
10317.000041364,0.0,0.0,59.0,59.0,178.0,1649.0,6990.0,1.0
10317.000040504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10317.000011939,0.0,2.0,5400.0,11.0,40.0,3.0,3.0,5.0
10317.000015165,1.0,0.0,95.0,4.0,3.0,4.0,127.0,4.0
10317.000007129,0.0,0.0,6762.0,1563.0,1040.0,1839.0,3172.0,45.0
10317.000035376,471.0,13.0,15657.0,3175.0,421.0,9.0,256.0,75.0
10317.000005261,0.0,0.0,11.0,1.0,15.0,64.0,123.0,0.0
10317.000005573,0.0,0.0,73.0,35.0,42.0,3.0,433.0,0.0
10317.000021554,5584.0,72.0,4487.0,3028.0,1443.0,11.0,783.0,40.0
10317.000048956,0.0,0.0,1.0,0.0,1.0,12.0,13.0,0.0
10317.000039952,0.0,0.0,738.0,76.0,177.0,613.0,380.0,32.0
10317.000015464,1.0,0.0,42.0,1.0,0.0,28.0,619.0,1.0
10317.000005066,0.0,0.0,10.0,11.0,2.0,2752.0,378.0,0.0
10317.000003701,1.0,0.0,17.0,1.0,1.0,11.0,294.0,1.0
10317.000009712,6.0,0.0,25.0,7.0,9.0,63.0,1502.0,1.0
10317.000015285,0.0,0.0,14.0,3.0,2.0,0.0,18.0,0.0
10317.000005081,0.0,0.0,86.0,4.0,99.0,173.0,272.0,6.0
10317.000014492,7.0,0.0,46.0,3.0,2.0,56.0,344.0,1.0
10317.000033584,0.0,4.0,211.0,28.0,21.0,12.0,0.0,34.0
10317.000003025,0.0,0.0,3.0,6.0,0.0,1.0,27.0,0.0
10317.000006851,2.0,0.0,14.0,4.0,1.0,7.0,39.0,0.0
10317.000031594,1.0,0.0,228.0,242.0,372.0,1.0,43.0,10.0
10317.000005084,0.0,0.0,14.0,17.0,5.0,32.0,451.0,0.0
10317.000015118,2.0,0.0,57.0,19.0,37.0,916.0,491.0,18.0
10317.000001291,0.0,0.0,24.0,29.0,2.0,3.0,2.0,6.0
10317.000022911,1.0,0.0,14.0,5.0,0.0,0.0,6.0,0.0
10317.000048387,101.0,0.0,868.0,203.0,254.0,210.0,1447.0,34.0
10317.000023288,9.0,0.0,109.0,557.0,569.0,1567.0,23.0,15.0
10317.000002497,1.0,0.0,8.0,0.0,5.0,3.0,11.0,0.0
10317.000005651,2.0,0.0,15.0,14.0,9.0,21.0,1879.0,2.0
10317.000005291,0.0,0.0,30.0,7.0,3.0,266.0,153.0,3.0
10317.000005551,0.0,0.0,2.0,335.0,0.0,174.0,65.0,0.0
10317.000005059,2.0,0.0,7.0,0.0,3.0,0.0,36.0,0.0
10317.000048390,28.0,0.0,100.0,7.0,22.0,79.0,221.0,0.0
10317.000010877,3.0,0.0,85.0,4.0,4.0,7.0,17.0,2.0
10317.000023667,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
10317.000031791,75.0,8.0,2771.0,0.0,5435.0,13.0,204.0,232.0
10317.000021990,0.0,22.0,12081.0,4.0,2242.0,303.0,11.0,26.0
10317.000013219,1.0,0.0,28.0,0.0,4.0,12.0,13.0,0.0
10317.000043173,2.0,0.0,199.0,0.0,30.0,0.0,1.0,1.0
10317.000015463,2.0,0.0,79.0,1.0,1.0,29.0,859.0,0.0
10317.000003638,1.0,0.0,19.0,17.0,1.0,73.0,1337.0,0.0
10317.000003896,0.0,0.0,14867.0,7.0,7126.0,0.0,15.0,190.0
10317.000006743,4.0,7.0,3450.0,147.0,14280.0,2.0,462.0,819.0
10317.000041069,0.0,0.0,197.0,22.0,2.0,240.0,293.0,33.0
10317.000015280,2.0,1.0,76.0,1.0,4.0,113.0,57.0,1.0
10317.000033185,0.0,0.0,4.0,0.0,0.0,12.0,17.0,0.0
10317.000033758,19.0,0.0,65555.0,3406.0,4398.0,205.0,74.0,472.0
10317.000005574,1.0,0.0,10.0,2.0,2.0,9.0,138.0,0.0
10317.000015454,1.0,0.0,14.0,4.0,2.0,0.0,221.0,0.0
10317.000002874,0.0,0.0,11.0,2.0,0.0,0.0,1.0,1.0
10317.000031434,8.0,0.0,12539.0,3755.0,18098.0,2.0,298.0,17000.0
10317.000005222,0.0,0.0,12.0,5.0,1.0,19.0,515.0,0.0
10317.000014584,3.0,1.0,1504.0,13.0,264.0,2.0,2.0,24.0
10317.000023960,28.0,0.0,4228.0,7.0,228.0,2.0,17.0,59.0
10317.000003167,0.0,0.0,848.0,5.0,216.0,14.0,73.0,47.0
10317.000027217,0.0,3.0,1360.0,661.0,805.0,0.0,5.0,2264.0
10317.000027908,1458.0,1.0,734.0,97.0,231.0,3.0,127.0,23.0
10317.000007128,0.0,0.0,897.0,37.0,175.0,841.0,423.0,0.0
10317.000041345,0.0,0.0,10.0,1.0,62.0,301.0,480.0,1.0
10317.000004924,0.0,0.0,7.0,73.0,1.0,28.0,2.0,0.0
10317.000004932,0.0,0.0,19.0,2.0,2.0,0.0,8.0,0.0
10317.000031359,1036.0,40.0,9024.0,2410.0,12.0,7.0,2180.0,289.0
10317.000007752,0.0,0.0,20.0,49.0,4.0,83.0,619.0,1.0
10317.000015401,2.0,3.0,199.0,17.0,138.0,13.0,335.0,5.0
10317.000004237,0.0,0.0,24.0,12.0,18.0,52.0,476.0,1.0
10317.000016408,6.0,143.0,26214.0,403.0,12522.0,5.0,164.0,1064.0
10317.000015255,0.0,0.0,11.0,0.0,0.0,0.0,42.0,0.0
10317.000009071,2.0,0.0,52.0,2.0,2.0,2.0,17.0,0.0
10317.000004056,1.0,0.0,33.0,3.0,3.0,45.0,24.0,2.0
10317.000018301,1.0,0.0,159.0,1.0,0.0,1.0,3.0,2.0
10317.000015015,0.0,0.0,12.0,0.0,6.0,1.0,8.0,0.0
10317.000005167,0.0,0.0,17.0,3.0,1.0,12.0,15.0,0.0
10317.000031336,28.0,11.0,15740.0,71.0,8305.0,25.0,980.0,2385.0
10317.000005594,0.0,0.0,17.0,0.0,3.0,1.0,27.0,0.0
10317.000005569,0.0,0.0,29.0,8.0,16.0,11.0,844.0,0.0
10317.000015179,2.0,0.0,95.0,6.0,19.0,4466.0,6978.0,2.0
10317.000007842,0.0,0.0,38.0,94.0,19.0,47.0,314.0,4.0
10317.000009586,0.0,2.0,4827.0,78.0,1997.0,12.0,2.0,143.0
10317.000006732,0.0,0.0,14.0,0.0,12.0,2.0,128.0,1.0
10317.000006848,0.0,0.0,5.0,0.0,0.0,34.0,9.0,0.0
10317.000005802,121.0,0.0,12763.0,20.0,179.0,3.0,15.0,12.0
10317.000005657,0.0,0.0,16.0,5.0,2.0,345.0,90.0,0.0
10317.000048405,83.0,4.0,1250.0,119.0,288.0,193.0,1173.0,29.0
10317.000005065,0.0,0.0,8.0,13.0,2.0,1270.0,732.0,0.0
10317.000003360,1.0,0.0,17.0,0.0,3.0,45.0,201.0,1.0
10317.000012906,31.0,0.0,242.0,76.0,495.0,1142.0,5.0,98.0
10317.000032601,119.0,26.0,40833.0,8121.0,5712.0,8.0,21.0,251.0
10317.000030516,1.0,0.0,34.0,15.0,10.0,96.0,3466.0,7.0
10317.000033793,5.0,2.0,254.0,37.0,22.0,111.0,30.0,18.0
10317.000015293,1.0,0.0,73.0,2.0,6.0,5.0,68.0,2.0
10317.000015223,0.0,0.0,1433.0,0.0,139.0,643.0,828.0,57.0
10317.000005225,1.0,0.0,195.0,46.0,2.0,13.0,454.0,1.0
10317.000005363,0.0,0.0,67.0,73.0,40.0,60.0,345.0,0.0
10317.000005166,0.0,0.0,94.0,64.0,54.0,221.0,146.0,0.0
10317.000031279,0.0,0.0,9.0,3.0,1.0,214.0,63.0,1.0
10317.000003421,0.0,0.0,6.0,173.0,2.0,39.0,106.0,0.0
10317.000007829,1.0,0.0,16.0,36.0,1.0,25.0,79.0,1.0
10317.000033722,3.0,2.0,1357.0,10.0,1257.0,0.0,6.0,55.0
10317.000028764,0.0,0.0,4.0,1.0,3.0,0.0,11.0,0.0
10317.000007079,0.0,0.0,389.0,158.0,192.0,73.0,294.0,8.0
10317.000005060,2.0,0.0,4.0,0.0,0.0,14.0,30.0,1.0
10317.000005262,0.0,0.0,14.0,8.0,0.0,28.0,29.0,0.0
10317.000031300,21.0,1.0,44824.0,34798.0,2124.0,285.0,97.0,1116.0
10317.000023286,4.0,2.0,78.0,1352.0,216.0,57.0,3049.0,64.0
10317.000005160,37.0,0.0,459.0,35.0,312.0,88.0,1751.0,39.0
10317.000006952,174.0,0.0,2587.0,14.0,31.0,8.0,14.0,18.0
10317.000047841,0.0,0.0,6.0,0.0,0.0,46.0,79.0,0.0
10317.000005971,0.0,1.0,68.0,378.0,5306.0,12.0,3.0,12.0
10317.000036442,1.0,0.0,33.0,0.0,0.0,4.0,358.0,0.0
10317.000048406,84.0,0.0,1118.0,222.0,234.0,238.0,952.0,65.0
10317.000015449,19.0,1.0,2190.0,14.0,1363.0,90.0,71.0,38.0
10317.000036735,2.0,0.0,15.0,0.0,1.0,2.0,11.0,0.0
10317.000007839,2.0,0.0,30.0,59.0,17.0,55.0,330.0,4.0
10317.000015174,5.0,0.0,60.0,3.0,4.0,15.0,149.0,0.0
10317.000018331,4.0,0.0,1212.0,91.0,7325.0,59.0,5.0,283.0
10317.000007078,0.0,0.0,44.0,15.0,73.0,165.0,394.0,1.0
10317.000005431,0.0,0.0,73.0,36.0,24.0,1069.0,1950.0,14.0
10317.000003207,3.0,0.0,42.0,1.0,6.0,2.0,14.0,1.0
10317.000032923,30.0,6.0,1606.0,56.0,195.0,0.0,79.0,4.0
10317.000023005,46.0,21.0,2057.0,1.0,5.0,9.0,12.0,176.0
10317.000041360,0.0,0.0,20.0,2.0,14.0,76.0,17576.0,3.0
10317.000005235,0.0,0.0,4.0,1.0,0.0,1.0,110.0,0.0
10317.000023250,12.0,0.0,733.0,1088.0,195.0,1197.0,22.0,30.0
10317.000007084,1.0,0.0,277.0,0.0,72.0,2023.0,7313.0,0.0
10317.000018029,46.0,2.0,931.0,80.0,1167.0,22.0,4335.0,268.0
10317.000022499,2.0,0.0,366.0,109.0,1066.0,2.0,1.0,30.0
10317.000003166,0.0,0.0,6.0,10.0,3.0,7.0,5.0,0.0
10317.000015178,1.0,0.0,182.0,8.0,25.0,3484.0,6727.0,1.0
10317.000040171,0.0,0.0,51.0,1.0,4.0,0.0,36.0,2.0
10317.000015392,2.0,0.0,372.0,43.0,0.0,12.0,48.0,0.0
10317.000041346,2.0,0.0,81.0,79.0,248.0,187.0,1473.0,2.0
10317.000041286,249.0,0.0,306.0,132.0,32.0,2.0,2.0,17.0
10317.000027820,57.0,2.0,4344.0,2531.0,2496.0,0.0,10.0,535.0
10317.000015307,0.0,0.0,4.0,9.0,7.0,3.0,13.0,0.0
10317.000002088,1.0,0.0,7.0,3.0,5.0,19.0,54.0,1.0
10317.000005650,0.0,0.0,28.0,4.0,6.0,12.0,1500.0,0.0
10317.000048389,48.0,0.0,351.0,44.0,2.0,62.0,1569.0,1.0
10317.000005564,1.0,0.0,23.0,0.0,4.0,2.0,26.0,0.0
10317.000013023,9.0,0.0,12136.0,46.0,4808.0,0.0,5.0,73.0
10317.000003339,8.0,0.0,402.0,6.0,107.0,158.0,308.0,0.0
10317.000005419,0.0,0.0,7.0,3.0,0.0,146.0,164.0,3.0
10317.000023052,0.0,0.0,4076.0,11.0,1697.0,3.0,1.0,6.0
10317.000013240,1.0,0.0,8.0,1.0,2.0,3.0,51.0,0.0
10317.000036140,27.0,29.0,2738.0,1900.0,12576.0,80.0,2576.0,266.0
10317.000003410,0.0,0.0,3.0,0.0,1.0,28.0,7.0,0.0
10317.000005069,0.0,0.0,10.0,51.0,0.0,44.0,2974.0,1.0
10317.000002180,5.0,0.0,1577.0,2.0,2394.0,1.0,2.0,24.0
10317.000039924,410.0,1.0,161.0,926.0,105.0,0.0,6.0,156.0
10317.000028811,78.0,0.0,26679.0,164.0,19337.0,1.0,14.0,3621.0
10317.000001481,274.0,0.0,10308.0,0.0,1550.0,1.0,15.0,20.0
10317.000042980,41.0,10.0,2294.0,129.0,1248.0,2.0,17737.0,228.0
10317.000033752,1204.0,21.0,17840.0,676.0,448.0,2.0,96.0,78.0
10317.000012997,13.0,1.0,166.0,36.0,39.0,10.0,1794.0,11.0
10317.000031265,974.0,5.0,5326.0,109.0,737.0,2.0,19.0,105.0
10317.000015291,3.0,0.0,57.0,0.0,10.0,4.0,312.0,4.0
10317.000013588,0.0,0.0,208.0,1.0,7.0,0.0,33.0,7.0
10317.000014076,302.0,21.0,5707.0,5.0,269.0,0.0,17.0,43.0
10317.000031922,56571.0,54.0,61544.0,53.0,21.0,122.0,327.0,148.0
10317.000005083,1.0,0.0,74.0,9.0,96.0,211.0,184.0,1.0
10317.000014801,2115.0,0.0,11788.0,18.0,1628.0,2.0,711.0,8.0
10317.000021701,5.0,0.0,29.0,9.0,12.0,7.0,252.0,5.0
10317.000015140,3.0,0.0,45.0,2.0,49.0,1394.0,553.0,0.0
10317.000038433,0.0,0.0,354.0,17.0,447.0,1132.0,251.0,30.0
10317.000008196,1.0,0.0,18.0,18.0,0.0,19.0,289.0,1.0
10317.000026028,1687.0,0.0,14910.0,10.0,8400.0,0.0,34.0,881.0
10317.000005785,1.0,0.0,20.0,0.0,4.0,6.0,4.0,0.0
10317.000007109,0.0,0.0,60.0,0.0,35.0,14802.0,1401.0,1.0
10317.000033583,0.0,20.0,1160.0,5.0,371.0,9.0,3.0,64.0
10317.000048388,28.0,0.0,493.0,2.0,23.0,46.0,1109.0,6.0
10317.000005227,0.0,0.0,183.0,8.0,1.0,5.0,646.0,0.0
10317.000040124,0.0,0.0,14.0,2.0,4.0,32.0,41.0,3.0
10317.000023008,0.0,0.0,9.0,7.0,2.0,54.0,527.0,1.0
10317.000005086,0.0,0.0,77.0,33.0,40.0,60.0,315.0,0.0
10317.000002645,6.0,4.0,1694.0,148.0,8335.0,3.0,4.0,15.0
10317.000041580,36.0,0.0,3678.0,0.0,5.0,1.0,12.0,0.0
10317.000032844,0.0,0.0,1.0,1.0,0.0,2.0,41.0,0.0
10317.000002841,0.0,0.0,14.0,2.0,1.0,1.0,414.0,0.0
10317.000028373,5.0,1.0,252.0,31.0,30.0,179.0,3568.0,17.0
10317.000003650,15.0,0.0,68.0,14.0,70.0,0.0,109.0,6.0
10317.000004846,1.0,0.0,64.0,26.0,155.0,22.0,958.0,2.0
10317.000012382,40.0,0.0,62.0,0.0,1.0,1.0,278.0,1.0
10317.000031867,1.0,0.0,134.0,147.0,102.0,1.0,89.0,3.0
10317.000002788,0.0,0.0,28.0,3.0,13.0,271.0,181.0,3.0
10317.000015164,1.0,1.0,28.0,0.0,0.0,4.0,90.0,0.0
10317.000003299,0.0,0.0,10.0,4.0,2.0,129.0,5.0,0.0
10317.000015354,0.0,0.0,21.0,0.0,7.0,78.0,88.0,0.0
10317.000028925,2.0,1.0,11440.0,3558.0,22240.0,1.0,67.0,5147.0
10317.000033716,21.0,2.0,17096.0,96.0,4184.0,0.0,11.0,146.0
10317.000015173,59.0,0.0,681.0,3.0,2.0,94.0,569.0,0.0
10317.000027388,19.0,10.0,10638.0,742.0,149.0,91.0,66.0,17.0
10317.000005578,0.0,0.0,16.0,34.0,4.0,18.0,1805.0,1.0
10317.000031416,14457.0,0.0,63851.0,66.0,14697.0,21.0,84.0,941.0
10317.000005236,0.0,0.0,3.0,11.0,2.0,20.0,185.0,1.0
10317.000027205,18.0,0.0,12405.0,4.0,9817.0,248.0,114.0,366.0
10317.000015208,6.0,0.0,43.0,3.0,7.0,28.0,60.0,1.0
10317.000003132,0.0,0.0,29.0,2.0,4.0,2.0,8.0,0.0
10317.000004879,0.0,0.0,12.0,0.0,1.0,1.0,2.0,0.0
10317.000004689,1.0,0.0,9.0,2.0,1.0,7.0,113.0,0.0
10317.000005786,1.0,0.0,21.0,6.0,2.0,66.0,144.0,4.0
10317.000023818,1.0,6.0,18613.0,345.0,10570.0,58.0,90.0,260.0
10317.000004206,157.0,51.0,3290.0,638.0,2269.0,124.0,76.0,152.0
10317.000014313,0.0,0.0,1256.0,1.0,146.0,306.0,4.0,1.0
